,image_id,category,width(bbox),height(bbox),area,perimeter,solidity,circularity,eccentricity,majorAxis,minorAxis,angle,center_x,center_y,hu1,hu2,hu3,hu4,hu5,hu6,hu7,confidence,unit
0,MHR.6751.jpg,autozooid,0.05060957256988551,0.06913188597079951,0.0023650360708463735,0.19417545469269742,0.9760731302008936,0.7882409102250502,0.716589480370573,0.06513823276058661,0.04667737236616619,77.42609405517578,1563,1224,0.17499165119423798,0.004296535225085704,0.00019256837054247396,1.4022964432984624e-05,6.735101885239226e-10,8.866269618610091e-07,-2.7820167091498927e-10,0.9999155,mm
3,MHR.6751.jpg,autozooid,0.052802407481400415,0.06539034475714685,0.0022614633141344463,0.1898058788689552,0.9707708403711368,0.7888239562989352,0.8126238912844742,0.059224431509416336,0.048127187992292736,33.16635513305664,1082,641,0.16825907855628985,0.0018321124886988523,0.00017271885439398,4.972484150371871e-06,2.796500991923646e-11,-5.261985180036456e-08,1.4301515656722004e-10,0.99962914,mm
5,MHR.6751.jpg,autozooid,0.04936091085488548,0.0668516285932022,0.0021752341807432687,0.18598472360429763,0.9757119846464923,0.7902442339845797,0.7324467792910742,0.06180633298764145,0.045269849536589656,39.111392974853516,1345,902,0.17124725562470472,0.0034481244595756886,1.6442402965835958e-05,1.6958933323021772e-07,-2.790881891708353e-13,-9.954323946072997e-09,4.803428873048985e-14,0.9990233,mm
6,MHR.6751.jpg,autozooid,0.0475807126994345,0.05621083114855812,0.0018586099102431972,0.17539836356711913,0.9494485078879374,0.7591839852371759,0.7447184736666961,0.058506774321183064,0.0435710756716333,47.585792541503906,1682,725,0.16836733800982334,0.0019408063725970353,6.4242457554326e-05,1.8790025042405907e-06,1.4470328603371714e-11,1.6878966966215457e-08,-1.4724148182011554e-11,0.99867177,mm
9,MHR.6751.jpg,autozooid,0.046027298395325954,0.0541386765119192,0.0018185056464499762,0.16664200836691037,0.972545478319141,0.8229160555497645,0.8527315914489311,0.0520420123489949,0.04437786801256335,90.0,1801,332,0.16441633357416435,0.0010012868511724286,7.318664343089574e-05,1.3799516315978043e-07,-4.369251453443745e-13,-3.786840521945879e-09,-3.762927281621799e-14,0.99472564,mm
11,MHR.6751.jpg,orifice,0.012067680423350468,0.011522865002981933,9.968381209947709e-05,0.03832160438831903,0.9877356347944584,0.8529962769586421,0.8028886996337343,0.012430487995895535,0.009980298342837311,19.983104705810547,1284,1071,0.165577637165211,0.0012835865832367915,0.00018883954096441188,4.1956311155607684e-06,-2.3901451543364967e-11,-3.2482901169335424e-08,-1.156540097244755e-10,0.9995443,mm
15,MHR.6751.jpg,orifice,0.01062974043040022,0.012668659892870417,9.424387385966505e-05,0.03745265873798056,0.9845159230585042,0.8443017444027995,0.732620278376812,0.01282247725854073,0.00939400685863245,56.3099365234375,973,746,0.16902129063099386,0.0026466856487160615,0.00016419563330533004,4.390145430238929e-06,-2.929703021127301e-11,-7.842118509306751e-08,-1.1416986134812622e-10,0.9980715,mm
18,MHR.6751.jpg,orifice,0.011923709119494044,0.010016002577334458,9.02556045321624e-05,0.03612137803395645,0.9904418546155781,0.8692714635141255,0.8,0.011743446967112863,0.00939475757369029,90.0,1638,902,0.16607984696345132,0.001721343783518694,0.00012702506713323195,2.436644346153355e-06,-4.178649727398552e-11,-9.712733611365505e-08,9.568261038717607e-12,0.9970426,mm
24,MHR.6751.jpg,orifice,0.011338060835878941,0.009243320616067703,7.611329318119037e-05,0.03345668503663704,0.9878036688150719,0.8544852317995852,0.7444444444444445,0.01112537081094903,0.008282220492595388,90.0,1811,473,0.16873712353087517,0.0026382326478599613,0.00012105132641844653,3.146504150198899e-06,-5.6600348255803314e-11,-1.4886381311554454e-07,2.381979744478676e-11,0.97679365,mm
27,MHR.6751.jpg,avicularium,0.007856214218114447,0.007499907498450909,4.160177488170865e-05,0.024466406190342797,0.9844512746338817,0.8733359954305986,0.9344262295081968,0.007540529105198786,0.007046068180267718,90.0,957,598,0.16170292988857687,0.00015914545630019573,0.0001927844890468642,5.316439651415849e-07,-4.754971443152096e-12,-5.653512745622879e-09,-2.5217711972390645e-12,0.98746526,mm
30,MHR.6751.jpg,avicularium,0.007688137038782639,0.007150964576741666,4.1273239285764945e-05,0.024376423948599527,0.9827178460978716,0.872847616935519,0.9827586206896551,0.007169683411500485,0.007046068180267718,90.0,1186,912,0.16203435052968607,0.0005039269912721557,8.233036910073017e-05,1.0328221524743715e-06,8.623103367666327e-12,2.281012581760704e-08,-4.043294484040429e-12,0.95699483,mm
33,MHR.6751.jpg,avicularium,0.007011874806979943,0.008731476299244527,4.015774633209562e-05,0.024393994046674555,0.9853768278965129,0.8480342039176807,0.7307692565549112,0.008440367673379454,0.006167961209725609,66.80140686035156,1932,404,0.1685424238659427,0.002730095471044201,0.00010060957876800742,2.284218233061899e-06,-1.9435397522884283e-11,-8.296717034441859e-08,-2.8659313271880023e-11,0.92626953,mm
