,image_id,category,width(bbox),height(bbox),area,perimeter,solidity,circularity,eccentricity,majorAxis,minorAxis,angle,center_x,center_y,hu1,hu2,hu3,hu4,hu5,hu6,hu7,confidence,unit
0,MHR.8542.jpg,autozooid,0.4068560450260492,0.3495785334996574,0.09665464121513231,1.2504967511823515,0.9648803134208961,0.776725282198689,0.7273218941872934,0.41696879137427567,0.30327053115932456,61.6388053894043,1204,587,0.16799485714683954,0.002166666058822823,9.677912161385325e-05,1.937925518240299e-06,1.656205138783338e-11,5.0661787441071836e-08,-2.0737781760527077e-11,0.9999403,mm
1,MHR.8542.jpg,autozooid,0.3762511520285405,0.3136697069903166,0.0792552236575895,1.1239969799161054,0.9631002913025385,0.7883289421995803,0.763541977888654,0.3783684723052513,0.28890021171465996,71.4721908569336,743,576,0.17145601376134645,0.0029856797105229597,0.00015789757003586066,8.02855783580997e-06,2.8514693311767575e-10,4.304129283538327e-07,-2.009093086531074e-11,0.99993145,mm
4,MHR.8542.jpg,autozooid,0.4008527699766296,0.2902387600046783,0.07701077824206172,1.1093843081200814,0.9728830571021904,0.7863164095210884,0.7878993183174192,0.36450562377119516,0.2871937324921904,22.729732513427734,289,535,0.17235755398249022,0.003653695184298161,0.00012655855170991989,6.718942350002683e-06,1.932348444147042e-10,4.0418568704568164e-07,-3.2375682333359284e-11,0.9998803,mm
5,MHR.8542.jpg,autozooid,0.4515132831107568,0.382024546013492,0.10911347073333744,1.3629375474366168,0.9343068689978741,0.7381358897836149,0.7749095567033477,0.44122571400618577,0.3419100224466515,63.575721740722656,1698,1162,0.16576475349472763,0.0013500871897216644,1.4241871508429704e-05,2.232212595720547e-07,2.777384506548056e-13,3.895005182737481e-09,2.8507563662283013e-13,0.9998642,mm
6,MHR.8542.jpg,autozooid,0.4665877427528913,0.33145323744096683,0.10205514536570802,1.2742087553024024,0.9801220173981681,0.7898845149886603,0.7371564324647756,0.4307083648615652,0.31749944167408833,62.949398040771484,1447,860,0.17164195815360317,0.003340068566041811,7.754501234984436e-05,1.488239309751539e-06,-5.0193270092863884e-12,-5.471469992355748e-08,-1.517936189385719e-11,0.99982625,mm
8,MHR.8542.jpg,autozooid,0.4142436071709972,0.3239861690786001,0.08001889672390426,1.1622040254261448,0.9479344576201739,0.7444536653381517,0.7208612322774905,0.38100215364140516,0.2746496819743211,25.267311096191406,686,1141,0.17239503376772916,0.003438120881595016,7.045077884327609e-05,3.1437736991773194e-06,2.669391859412703e-12,-4.131733450335792e-08,4.671020691454831e-11,0.99936944,mm
10,MHR.8542.jpg,autozooid,0.3970900649945826,0.3938246022007634,0.099608994373472,1.2697279953904201,0.9635315045531789,0.7764026861898192,0.7295761433692304,0.4233902064921785,0.3088953939928657,33.495182037353516,999,1456,0.1731147806283699,0.003907263785512705,6.502076580983528e-05,2.183828273765813e-06,1.3196225257321769e-11,7.727415940926712e-08,2.242866373524821e-11,0.99582183,mm
12,MHR.8542.jpg,orifice,0.09640972415921528,0.08528915821128151,0.005349478461391442,0.30011347092096297,0.9692250418812434,0.7463633889421472,0.5762353850615775,0.11150902318026702,0.06425544491012153,53.426971435546875,1101,1591,0.19156185477344628,0.008512485944501231,0.0010113549207662709,4.567364907664209e-05,-9.813384163044785e-09,-4.194548401226238e-06,2.4158617458326787e-10,0.9973137,mm
13,MHR.8542.jpg,orifice,0.08225216214007033,0.12983577455764905,0.006714158806353026,0.34209549558393637,0.9758598377382908,0.7209526816478999,0.49665248067137135,0.13023888724386923,0.06468346642954667,16.699243545532227,1887,1159,0.2053711841324447,0.015616738887129236,0.0004177328752026859,2.6697028047630775e-05,-2.72518891130266e-09,-3.1973078882822014e-06,-7.224169222502702e-10,0.9933494,mm
14,MHR.8542.jpg,orifice,0.08453526348766321,0.10841468312346202,0.005748095254750359,0.310563820947423,0.9771219001047852,0.7489142562355344,0.5463671574760889,0.11554994941107041,0.06313269740623242,64.29004669189453,463,498,0.19331304228661667,0.011285823944705446,0.00022855860057124924,1.2894122435466895e-05,-5.815569474762797e-10,-1.1917704117680993e-06,3.895707977932239e-10,0.99323857,mm
